"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","23","145","14.345467","12.578686","7.194823"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","67","158","3.903856","5.721007","2.333922"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","79","164","3.279472","2.407939","3.275102"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","87","168","3.642541","3.465148","2.079168"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","101","176","1.73858","2.921735","0.970095"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","119","186","2.120652","2.257301","2.599983"
"Cucuta, Norte de Santander, Colombia","CM","CCUC3","7.87","-72.5","10","439","140","201","2.472414","2.531308","2.677404"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","146","204","8.695521","6.590526","5.206164"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","157","213","1.25313","0.818008","2.038034"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","161","216","6.798373","6.270946","5.303266"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","162","217","2.591697","5.903673","1.382021"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","179","229","1.317166","1.98872","1.227817"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","230","271","","","0.304776"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","233","274","1.768885","2.606437","0.837463"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","250","288","0.387562","0.740875","0.214673"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","252","290","0.80247","0.638897","0.32747"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","261","298","0.927636","0.884603","0.494627"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","270","306","0.683081","0.630224","0.366661"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","273","308","0.338996","0.392586","0.218058"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","274","310","2.549037","2.380525","0.942271"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","282","316","3.442774","3.018865","1.130185"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","300","333","0.247081","0.337981","0.237007"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","305","337","0.695801","0.696893","0.314031"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","311","343","0.54374","0.791558","0.637949"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","315","347","0.354338","0.495946","0.262372"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","323","353","0.369782","0.39185","0.201681"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","324","355","0.623565","0.711269","0.422118"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","337","367","0.853132","0.788429","0.447846"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","354","382","0.299567","0.379592","0.189728"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","359","387","0.469018","0.487076","0.247315"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","361","388","0.25725","0.214654","0.166066"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","361","389","0.69792","0.661953","0.235552"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","372","399","0.560293","0.45902","0.251817"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","373","400","0.09737","0.133261","0.049081"
"Penas Blanca Quindio","UQ","PBLC","4.48","-75.63","00","2094","376","402","0.149617","0.151746","0.076504"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","389","415","0.468824","0.605975","0.14891"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","393","418","0.299856","0.39891","0.227865"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","396","422","0.248917","0.299707","0.120093"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","396","421","0.218832","0.338636","0.164766"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","400","425","0.569048","0.606646","0.642055"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","404","429","0.379411","0.449351","0.229937"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","406","431","0.032663","0.046466","0.032112"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","410","434","0.308557","0.471728","0.190002"
"Valledupar, Cesar","CM","VALLC","10.51","-73.26","10","354","413","437","0.418809","0.342125","0.179475"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","418","442","0.335205","0.305242","0.266399"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","421","445","0.254226","0.235291","0.153309"
"Colombia, Huila, Colombia","CM","CLBC","3.38","-74.8","10","785","422","446","0.335407","0.308603","0.389311"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","471","492","0.239513","0.280563","0.172831"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","474","495","0.060371","0.06579","0.046404"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","477","498","0.80072","0.822048","0.334022"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","500","520","0.124075","0.12965","0.113825"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","518","537","0.030525","0.040378","0.036762"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","524","543","0.16538","0.125866","0.070961"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","533","552","0.075892","0.077428","0.133751"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","538","557","0.088917","0.102074","0.081724"
"Bahia Malaga, Valle del Cauca, Colombia","CM","MAL","4.01","-77.33","10","112","556","575","0.136437","0.182826","0.075201"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","557","575","0.190317","0.183039","0.073246"
"Uribia, Guajira, Colombia","CM","URI","11.7","-71.99","10","68","561","579","0.051556","0.062787","0.063329"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","575","592","0.152042","0.125869","0.127501"
"Volcan Purace, Cauca, Colombia","CM","COBO","2.33","-76.4","00","4294","613","630","0.036256","0.040287","0.02715"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","643","659","0.019915","0.019814","0.023254"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","644","660","0.119071","0.062767","0.055633"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","647","663","0.015955","0.015529","0.019272"
"Balboa, Cauca - Colombia","CM","BBAC","2.02","-77.25","00","1713","698","713","0.298579","0.158061","0.119856"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","775","788","0.056384","0.035675","0.034762"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","777","790","0.02116","0.029874","0.03376"